"","month","age","serostatus","serotype","outcome","trial","Y","year"
"1",12,"4-5yrs","SP","all","hosp","V",1,1
"2",12,"6-11yrs","SP","all","hosp","V",1,1
"3",12,"12-16yrs","SP","all","hosp","V",2,1
"4",12,"4-5yrs","SN","all","hosp","V",0,1
"5",12,"6-11yrs","SN","all","hosp","V",1,1
"6",12,"12-16yrs","SN","all","hosp","V",0,1
"7",12,"4-5yrs","SP","all","hosp","P",1,1
"8",12,"6-11yrs","SP","all","hosp","P",19,1
"9",12,"12-16yrs","SP","all","hosp","P",15,1
"10",12,"4-5yrs","SN","all","hosp","P",2,1
"11",12,"6-11yrs","SN","all","hosp","P",14,1
"12",12,"12-16yrs","SN","all","hosp","P",2,1
"13",18,"4-5yrs","SP","all","hosp","V",2,1.5
"14",18,"6-11yrs","SP","all","hosp","V",2,1.5
"15",18,"12-16yrs","SP","all","hosp","V",0,1.5
"16",18,"4-5yrs","SN","all","hosp","V",2,1.5
"17",18,"6-11yrs","SN","all","hosp","V",2,1.5
"18",18,"12-16yrs","SN","all","hosp","V",0,1.5
"19",18,"4-5yrs","SP","all","hosp","P",2,1.5
"20",18,"6-11yrs","SP","all","hosp","P",7,1.5
"21",18,"12-16yrs","SP","all","hosp","P",1,1.5
"22",18,"4-5yrs","SN","all","hosp","P",1,1.5
"23",18,"6-11yrs","SN","all","hosp","P",1,1.5
"24",18,"12-16yrs","SN","all","hosp","P",1,1.5
"25",24,"4-5yrs","SP","all","hosp","V",0,2
"26",24,"6-11yrs","SP","all","hosp","V",0,2
"27",24,"12-16yrs","SP","all","hosp","V",1,2
"28",24,"4-5yrs","SN","all","hosp","V",1,2
"29",24,"6-11yrs","SN","all","hosp","V",1,2
"30",24,"12-16yrs","SN","all","hosp","V",0,2
"31",24,"4-5yrs","SP","all","hosp","P",1,2
"32",24,"6-11yrs","SP","all","hosp","P",4,2
"33",24,"12-16yrs","SP","all","hosp","P",1,2
"34",24,"4-5yrs","SN","all","hosp","P",0,2
"35",24,"6-11yrs","SN","all","hosp","P",3,2
"36",24,"12-16yrs","SN","all","hosp","P",0,2
"37",36,"4-5yrs","SP","all","hosp","V",4,3
"38",36,"6-11yrs","SP","all","hosp","V",5,3
"39",36,"12-16yrs","SP","all","hosp","V",3,3
"40",36,"4-5yrs","SN","all","hosp","V",1,3
"41",36,"6-11yrs","SN","all","hosp","V",7,3
"42",36,"12-16yrs","SN","all","hosp","V",1,3
"43",36,"4-5yrs","SP","all","hosp","P",1,3
"44",36,"6-11yrs","SP","all","hosp","P",18,3
"45",36,"12-16yrs","SP","all","hosp","P",7,3
"46",36,"4-5yrs","SN","all","hosp","P",2,3
"47",36,"6-11yrs","SN","all","hosp","P",5,3
"48",36,"12-16yrs","SN","all","hosp","P",1,3
"49",36,"all","SP","D1","hosp","V",6,3
"50",36,"all","SP","D2","hosp","V",2,3
"51",36,"all","SP","D3","hosp","V",4,3
"52",36,"all","SP","D4","hosp","V",0,3
"53",36,"all","SN","D1","hosp","V",2,3
"54",36,"all","SN","D2","hosp","V",0,3
"55",36,"all","SN","D3","hosp","V",7,3
"56",36,"all","SN","D4","hosp","V",0,3
"57",36,"all","SP","D1","hosp","P",10,3
"58",36,"all","SP","D2","hosp","P",9,3
"59",36,"all","SP","D3","hosp","P",6,3
"60",36,"all","SP","D4","hosp","P",1,3
"61",36,"all","SN","D1","hosp","P",5,3
"62",36,"all","SN","D2","hosp","P",2,3
"63",36,"all","SN","D3","hosp","P",1,3
"64",36,"all","SN","D4","hosp","P",0,3
"65",12,"4-5yrs","both","D1","hosp","both",0,1
"66",12,"6-11yrs","both","D1","hosp","both",4,1
"67",12,"12-16yrs","both","D1","hosp","both",1,1
"68",12,"4-5yrs","both","D2","hosp","both",3,1
"69",12,"6-11yrs","both","D2","hosp","both",25,1
"70",12,"12-16yrs","both","D2","hosp","both",15,1
"71",12,"4-5yrs","both","D3","hosp","both",1,1
"72",12,"6-11yrs","both","D3","hosp","both",6,1
"73",12,"12-16yrs","both","D3","hosp","both",3,1
"74",12,"4-5yrs","both","D4","hosp","both",0,1
"75",12,"6-11yrs","both","D4","hosp","both",0,1
"76",12,"12-16yrs","both","D4","hosp","both",0,1
"77",24,"4-5yrs","both","D1","hosp","both",4,2
"78",24,"6-11yrs","both","D1","hosp","both",11,2
"79",24,"12-16yrs","both","D1","hosp","both",4,2
"80",24,"4-5yrs","both","D2","hosp","both",2,2
"81",24,"6-11yrs","both","D2","hosp","both",5,2
"82",24,"12-16yrs","both","D2","hosp","both",0,2
"83",24,"4-5yrs","both","D3","hosp","both",3,2
"84",24,"6-11yrs","both","D3","hosp","both",3,2
"85",24,"12-16yrs","both","D3","hosp","both",0,2
"86",24,"4-5yrs","both","D4","hosp","both",0,2
"87",24,"6-11yrs","both","D4","hosp","both",1,2
"88",24,"12-16yrs","both","D4","hosp","both",0,2
"89",48,"all","SP","D1","hosp","P",3,4
"90",48,"all","SP","D2","hosp","P",4,4
"91",48,"all","SP","D3","hosp","P",1,4
"92",48,"all","SP","D4","hosp","P",0,4
"93",48,"all","SN","D1","hosp","P",3,4
"94",48,"all","SN","D2","hosp","P",1,4
"95",48,"all","SN","D3","hosp","P",1,4
"96",48,"all","SN","D4","hosp","P",0,4
"97",48,"all","SP","D1","hosp","V",1,4
"98",48,"all","SP","D2","hosp","V",0,4
"99",48,"all","SP","D3","hosp","V",0,4
"100",48,"all","SP","D4","hosp","V",0,4
"101",48,"all","SN","D1","hosp","V",0,4
"102",48,"all","SN","D2","hosp","V",0,4
"103",48,"all","SN","D3","hosp","V",0,4
"104",48,"all","SN","D4","hosp","V",0,4
"105",54,"all","SP","D1","hosp","P",0,4.5
"106",54,"all","SP","D2","hosp","P",2,4.5
"107",54,"all","SP","D3","hosp","P",0,4.5
"108",54,"all","SP","D4","hosp","P",0,4.5
"109",54,"all","SN","D1","hosp","P",0,4.5
