"","trial","serostatus","serotype","age","year","Y","N","month","outcome"
"1","V","SP","all","all",1.5,34,9126,18,NA
"2","V","SP","all","all",1,41,9165,12,NA
"3","V","SP","all","all",2,30,9002,24,NA
"4","V","SP","all","all",3,139,8863,36,NA
"5","V","SP","all","all",4,22,8576,48,NA
"6","V","SP","all","all",4.5,8,8554,54,NA
"7","V","SN","all","all",1.5,19,3511,18,NA
"8","V","SN","all","all",1,20,3531,12,NA
"9","V","SN","all","all",2,14,3459,24,NA
"10","V","SN","all","all",3,69,3412,36,NA
"11","V","SN","all","all",4,11,3281,48,NA
"12","V","SN","all","all",4.5,8,3269,54,NA
"13","V","both","all","all",1.5,53,12637,18,NA
"14","V","both","all","all",1,61,12696,12,NA
"15","V","both","all","all",2,44,12461,24,NA
"16","V","both","all","all",3,208,12275,36,NA
"17","V","both","all","all",4,33,11857,48,NA
"18","V","both","all","all",4.5,16,11823,54,NA
"19","P","SP","all","all",1.5,40,4479,18,NA
"20","P","SP","all","all",1,110,4587,12,NA
"21","P","SP","all","all",2,37,4402,24,NA
"22","P","SP","all","all",3,128,4315,36,NA
"23","P","SP","all","all",4,29,4110,48,NA
"24","P","SP","all","all",4.5,6,4081,54,NA
"25","P","SN","all","all",1.5,17,1687,18,NA
"26","P","SN","all","all",1,39,1726,12,NA
"27","P","SN","all","all",2,12,1659,24,NA
"28","P","SN","all","all",3,51,1630,36,NA
"29","P","SN","all","all",4,13,1558,48,NA
"30","P","SN","all","all",4.5,4,1544,54,NA
"31","P","both","all","all",1.5,57,6166,18,NA
"32","P","both","all","all",1,149,6313,12,NA
"33","P","both","all","all",2,49,6061,24,NA
"34","P","both","all","all",3,179,5945,36,NA
"35","P","both","all","all",4,42,5668,48,NA
"36","P","both","all","all",4.5,10,5625,54,NA
"37","V","SP","D1","all",1.5,14,9160,18,NA
"38","V","SP","D1","all",1,7,9165,12,NA
"39","V","SP","D1","all",2,12,9056,24,NA
"40","V","SP","D1","all",3,77,8935,36,NA
"41","V","SP","D1","all",4,16,8710,48,NA
"42","V","SP","D1","all",4.5,1,8694,54,NA
"43","V","SN","D1","all",1.5,8,3522,18,NA
"44","V","SN","D1","all",1,9,3531,12,NA
"45","V","SN","D1","all",2,7,3481,24,NA
"46","V","SN","D1","all",3,49,3441,36,NA
"47","V","SN","D1","all",4,10,3330,48,NA
"48","V","SN","D1","all",4.5,1,3319,54,NA
"49","V","both","D1","all",1.5,22,12682,18,NA
"50","V","both","D1","all",1,16,12696,12,NA
"51","V","both","D1","all",2,19,12537,24,NA
"52","V","both","D1","all",3,126,12376,36,NA
"53","V","both","D1","all",4,26,12040,48,NA
"54","V","both","D1","all",4.5,2,12013,54,NA
"55","P","SP","D1","all",1.5,20,4572,18,NA
"56","P","SP","D1","all",1,17,4587,12,NA
"57","P","SP","D1","all",2,11,4515,24,NA
"58","P","SP","D1","all",3,69,4454,36,NA
"59","P","SP","D1","all",4,18,4308,48,NA
"60","P","SP","D1","all",4.5,2,4290,54,NA
"61","P","SN","D1","all",1.5,12,1713,18,NA
"62","P","SN","D1","all",1,13,1726,12,NA
"63","P","SN","D1","all",2,6,1690,24,NA
"64","P","SN","D1","all",3,28,1667,36,NA
"65","P","SN","D1","all",4,11,1618,48,NA
"66","P","SN","D1","all",4.5,2,1606,54,NA
"67","P","both","D1","all",1.5,32,6285,18,NA
"68","P","both","D1","all",1,30,6313,12,NA
"69","P","both","D1","all",2,17,6205,24,NA
"70","P","both","D1","all",3,97,6121,36,NA
"71","P","both","D1","all",4,29,5926,48,NA
"72","P","both","D1","all",4.5,4,5896,54,NA
"73","V","SP","D2","all",1.5,4,9164,18,NA
"74","V","SP","D2","all",1,3,9165,12,NA
"75","V","SP","D2","all",2,7,9070,24,NA
"76","V","SP","D2","all",3,20,8954,36,NA
"77","V","SP","D2","all",4,4,8786,48,NA
"78","V","SP","D2","all",4.5,7,8782,54,NA
"79","V","SN","D2","all",1.5,1,3531,18,NA
"80","V","SN","D2","all",1,0,3531,12,NA
"81","V","SN","D2","all",2,2,3497,24,NA
"82","V","SN","D2","all",3,5,3462,36,NA
"83","V","SN","D2","all",4,0,3395,48,NA
"84","V","SN","D2","all",4.5,4,3394,54,NA
"85","V","both","D2","all",1.5,5,12695,18,NA
"86","V","both","D2","all",1,3,12696,12,NA
"87","V","both","D2","all",2,9,12567,24,NA
"88","V","both","D2","all",3,25,12416,36,NA
"89","V","both","D2","all",4,4,12181,48,NA
"90","V","both","D2","all",4.5,11,12176,54,NA
"91","P","SP","D2","all",1.5,12,4547,18,NA
"92","P","SP","D2","all",1,42,4587,12,NA
"93","P","SP","D2","all",2,10,4498,24,NA
"94","P","SP","D2","all",3,34,4438,36,NA
"95","P","SP","D2","all",4,6,4327,48,NA
"96","P","SP","D2","all",4.5,3,4321,54,NA
"97","P","SN","D2","all",1.5,4,1704,18,NA
"98","P","SN","D2","all",1,22,1726,12,NA
"99","P","SN","D2","all",2,1,1689,24,NA
"100","P","SN","D2","all",3,16,1671,36,NA
"101","P","SN","D2","all",4,1,1634,48,NA
"102","P","SN","D2","all",4.5,2,1632,54,NA
"103","P","both","D2","all",1.5,16,6251,18,NA
"104","P","both","D2","all",1,64,6313,12,NA
"105","P","both","D2","all",2,11,6187,24,NA
"106","P","both","D2","all",3,50,6109,36,NA
"107","P","both","D2","all",4,7,5961,48,NA
"108","P","both","D2","all",4.5,5,5953,54,NA
"109","V","SP","D3","all",1.5,15,9139,18,NA
"110","V","SP","D3","all",1,28,9165,12,NA
"111","V","SP","D3","all",2,10,9034,24,NA
"112","V","SP","D3","all",3,37,8915,36,NA
"113","V","SP","D3","all",4,2,8730,48,NA
"114","V","SP","D3","all",4.5,0,8728,54,NA
"115","V","SN","D3","all",1.5,9,3520,18,NA
"116","V","SN","D3","all",1,11,3531,12,NA
"117","V","SN","D3","all",2,3,3478,24,NA
"118","V","SN","D3","all",3,11,3442,36,NA
"119","V","SN","D3","all",4,0,3369,48,NA
"120","V","SN","D3","all",4.5,0,3368,54,NA
"121","V","both","D3","all",1.5,24,12659,18,NA
"122","V","both","D3","all",1,39,12696,12,NA
"123","V","both","D3","all",2,13,12512,24,NA
"124","V","both","D3","all",3,48,12357,36,NA
"125","V","both","D3","all",4,2,12099,48,NA
"126","V","both","D3","all",4.5,0,12096,54,NA
"127","P","SP","D3","all",1.5,7,4542,18,NA
"128","P","SP","D3","all",1,47,4587,12,NA
"129","P","SP","D3","all",2,14,4498,24,NA
"130","P","SP","D3","all",3,20,4434,36,NA
"131","P","SP","D3","all",4,2,4337,48,NA
"132","P","SP","D3","all",4.5,0,4335,54,NA
"133","P","SN","D3","all",1.5,2,1722,18,NA
"134","P","SN","D3","all",1,4,1726,12,NA
"135","P","SN","D3","all",2,3,1709,24,NA
"136","P","SN","D3","all",3,6,1689,36,NA
"137","P","SN","D3","all",4,1,1662,48,NA
"138","P","SN","D3","all",4.5,0,1660,54,NA
"139","P","both","D3","all",1.5,9,6264,18,NA
"140","P","both","D3","all",1,51,6313,12,NA
"141","P","both","D3","all",2,17,6207,24,NA
"142","P","both","D3","all",3,26,6123,36,NA
"143","P","both","D3","all",4,3,5999,48,NA
"144","P","both","D3","all",4.5,0,5995,54,NA
"145","V","SP","D4","all",1.5,1,9164,18,NA
"146","V","SP","D4","all",1,3,9165,12,NA
"147","V","SP","D4","all",2,1,9073,24,NA
"148","V","SP","D4","all",3,5,8963,36,NA
"149","V","SP","D4","all",4,0,8810,48,NA
"150","V","SP","D4","all",4.5,0,8810,54,NA
"151","V","SN","D4","all",1.5,1,3531,18,NA
"152","V","SN","D4","all",1,0,3531,12,NA
"153","V","SN","D4","all",2,2,3497,24,NA
"154","V","SN","D4","all",3,4,3462,36,NA
"155","V","SN","D4","all",4,1,3396,48,NA
"156","V","SN","D4","all",4.5,3,3394,54,NA
"157","V","both","D4","all",1.5,2,12695,18,NA
"158","V","both","D4","all",1,3,12696,12,NA
"159","V","both","D4","all",2,3,12570,24,NA
"160","V","both","D4","all",3,9,12425,36,NA
"161","V","both","D4","all",4,1,12206,48,NA
"162","V","both","D4","all",4.5,3,12204,54,NA
"163","P","SP","D4","all",1.5,1,4585,18,NA
"164","P","SP","D4","all",1,4,4587,12,NA
"165","P","SP","D4","all",2,2,4547,24,NA
"166","P","SP","D4","all",3,6,4495,36,NA
"167","P","SP","D4","all",4,3,4412,48,NA
"168","P","SP","D4","all",4.5,1,4409,54,NA
"169","P","SN","D4","all",1.5,0,1726,18,NA
"170","P","SN","D4","all",1,0,1726,12,NA
"171","P","SN","D4","all",2,1,1715,24,NA
"172","P","SN","D4","all",3,1,1697,36,NA
"173","P","SN","D4","all",4,0,1675,48,NA
"174","P","SN","D4","all",4.5,0,1674,54,NA
"175","P","both","D4","all",1.5,1,6311,18,NA
"176","P","both","D4","all",1,4,6313,12,NA
"177","P","both","D4","all",2,3,6262,24,NA
"178","P","both","D4","all",3,7,6192,36,NA
"179","P","both","D4","all",4,3,6087,48,NA
"180","P","both","D4","all",4.5,1,6083,54,NA
"181","V","SP","all","4-5yrs",1.5,11,950,18,NA
"182","V","SP","all","4-5yrs",1,7,957,12,NA
"183","V","SP","all","4-5yrs",2,4,930,24,NA
"184","V","SP","all","4-5yrs",3,34,919,36,NA
"185","V","SP","all","4-5yrs",4,NA,847,48,NA
"186","V","SP","all","4-5yrs",4.5,NA,903,54,NA
"187","V","SN","all","4-5yrs",1.5,8,656,18,NA
"188","V","SN","all","4-5yrs",1,6,662,12,NA
"189","V","SN","all","4-5yrs",2,7,641,24,NA
"190","V","SN","all","4-5yrs",3,17,631,36,NA
"191","V","SN","all","4-5yrs",4,NA,599,48,NA
"192","V","SN","all","4-5yrs",4.5,NA,637,54,NA
"193","P","SP","all","4-5yrs",1.5,8,446,18,NA
"194","P","SP","all","4-5yrs",1,18,464,12,NA
"195","P","SP","all","4-5yrs",2,5,435,24,NA
"196","P","SP","all","4-5yrs",3,16,426,36,NA
"197","P","SP","all","4-5yrs",4,NA,390,48,NA
"198","P","SP","all","4-5yrs",4.5,NA,437,54,NA
"199","P","SN","all","4-5yrs",1.5,4,332,18,NA
"200","P","SN","all","4-5yrs",1,5,337,12,NA
"201","P","SN","all","4-5yrs",2,2,325,24,NA
"202","P","SN","all","4-5yrs",3,16,320,36,NA
"203","P","SN","all","4-5yrs",4,NA,297,48,NA
"204","P","SN","all","4-5yrs",4.5,NA,324,54,NA
"205","V","SP","all","6-11yrs",1.5,18,4785,18,NA
"206","V","SP","all","6-11yrs",1,22,4806,12,NA
"207","V","SP","all","6-11yrs",2,21,4735,24,NA
"208","V","SP","all","6-11yrs",3,75,4682,36,NA
"209","V","SP","all","6-11yrs",4,NA,4577,48,NA
"210","V","SP","all","6-11yrs",4.5,NA,4713,54,NA
"211","V","SN","all","6-11yrs",1.5,10,2188,18,NA
"212","V","SN","all","6-11yrs",1,12,2200,12,NA
"213","V","SN","all","6-11yrs",2,6,2162,24,NA
"214","V","SN","all","6-11yrs",3,40,2137,36,NA
"215","V","SN","all","6-11yrs",4,NA,2081,48,NA
"216","V","SN","all","6-11yrs",4.5,NA,2149,54,NA
"217","P","SP","all","6-11yrs",1.5,22,2367,18,NA
"218","P","SP","all","6-11yrs",1,58,2423,12,NA
"219","P","SP","all","6-11yrs",2,26,2335,24,NA
"220","P","SP","all","6-11yrs",3,75,2295,36,NA
"221","P","SP","all","6-11yrs",4,NA,2208,48,NA
"222","P","SP","all","6-11yrs",4.5,NA,2389,54,NA
"223","P","SN","all","6-11yrs",1.5,10,1038,18,NA
"224","P","SN","all","6-11yrs",1,27,1065,12,NA
"225","P","SN","all","6-11yrs",2,9,1023,24,NA
"226","P","SN","all","6-11yrs",3,27,1005,36,NA
"227","P","SN","all","6-11yrs",4,NA,973,48,NA
"228","P","SN","all","6-11yrs",4.5,NA,1046,54,NA
"229","V","SP","all","12-16yrs",1.5,5,3391,18,NA
"230","V","SP","all","12-16yrs",1,12,3402,12,NA
"231","V","SP","all","12-16yrs",2,5,3337,24,NA
"232","V","SP","all","12-16yrs",3,30,3262,36,NA
"233","V","SP","all","12-16yrs",4,NA,3152,48,NA
"234","V","SP","all","12-16yrs",4.5,NA,3204,54,NA
"235","V","SN","all","12-16yrs",1.5,1,667,18,NA
"236","V","SN","all","12-16yrs",1,2,669,12,NA
"237","V","SN","all","12-16yrs",2,1,656,24,NA
"238","V","SN","all","12-16yrs",3,12,644,36,NA
"239","V","SN","all","12-16yrs",4,NA,601,48,NA
"240","V","SN","all","12-16yrs",4.5,NA,616,54,NA
"241","P","SP","all","12-16yrs",1.5,10,1666,18,NA
"242","P","SP","all","12-16yrs",1,34,1700,12,NA
"243","P","SP","all","12-16yrs",2,6,1632,24,NA
"244","P","SP","all","12-16yrs",3,37,1594,36,NA
"245","P","SP","all","12-16yrs",4,NA,1512,48,NA
"246","P","SP","all","12-16yrs",4.5,NA,1599,54,NA
"247","P","SN","all","12-16yrs",1.5,3,317,18,NA
"248","P","SN","all","12-16yrs",1,7,324,12,NA
"249","P","SN","all","12-16yrs",2,1,311,24,NA
"250","P","SN","all","12-16yrs",3,8,305,36,NA
"251","P","SN","all","12-16yrs",4,NA,288,48,NA
"252","P","SN","all","12-16yrs",4.5,NA,306,54,NA
"253","both","both","D1","12-16yrs",1,9,NA,12,"VCD"
"254","both","both","D2","12-16yrs",1,22,NA,12,"VCD"
"255","both","both","D3","12-16yrs",1,23,NA,12,"VCD"
"256","both","both","D4","12-16yrs",1,1,NA,12,"VCD"
"257","both","both","D1","4-5yrs",1,5,NA,12,"VCD"
"258","both","both","D2","4-5yrs",1,4,NA,12,"VCD"
"259","both","both","D3","4-5yrs",1,25,NA,12,"VCD"
"260","both","both","D4","4-5yrs",1,2,NA,12,"VCD"
"261","both","both","D1","6-11yrs",1,32,NA,12,"VCD"
"262","both","both","D2","6-11yrs",1,41,NA,12,"VCD"
"263","both","both","D3","6-11yrs",1,42,NA,12,"VCD"
"264","both","both","D4","6-11yrs",1,4,NA,12,"VCD"
"265","both","both","D1","12-16yrs",2,16,NA,24,"VCD"
"266","both","both","D2","12-16yrs",2,5,NA,24,"VCD"
"267","both","both","D3","12-16yrs",2,10,NA,24,"VCD"
"268","both","both","D4","12-16yrs",2,1,NA,24,"VCD"
"269","both","both","D1","4-5yrs",2,19,NA,24,"VCD"
"270","both","both","D2","4-5yrs",2,5,NA,24,"VCD"
"271","both","both","D3","4-5yrs",2,21,NA,24,"VCD"
"272","both","both","D4","4-5yrs",2,4,NA,24,"VCD"
"273","both","both","D1","6-11yrs",2,55,NA,24,"VCD"
"274","both","both","D2","6-11yrs",2,32,NA,24,"VCD"
"275","both","both","D3","6-11yrs",2,32,NA,24,"VCD"
"276","both","both","D4","6-11yrs",2,4,NA,24,"VCD"
