"","lp__","hs[1]","hs[2]","hl","ts[1]","ts[2]","gamma","rho[1]","phi","delta[1]","delta[2]","delta[3]","delta[4]","L[1,1]","tau[1]","tau[2]","tau[3]","tau[4]","w[1]","lc[1,1]","lc[2,1]","lc[3,1]","lc[2,2]","lc[2,3]","lc[2,4]","alpha[1]","beta[1]","ll"
"1",-640.158,2.35925,4.42975,77.5906,-1.95653,0.563546,0.435829,3.10143,0.324679,0.182693,0.361906,0.212931,0.179375,1.38093,1.54386,1.09216,2.98888,2.65368,3.02484,4.77326,6.73674,6.05574,7.15792,6.86253,6.21783,0.471921,0.291359,-577.116
"2",-649.485,1.44429,4.32314,99.9842,-2.60133,0.933972,0.475815,2.64697,0.211286,0.165199,0.318927,0.143455,0.212,2.03246,1.88138,1.83854,2.64251,1.09698,2.42609,4.74455,6.79413,7.25797,6.95651,6.78626,5.9209,0.491462,0.393311,-577.678
"3",-637.636,1.83166,4.34245,74.1934,-1.68492,0.191381,0.443397,2.44691,0.302777,0.180265,0.370048,0.143357,0.125572,1.60078,1.05637,2.85651,2.69402,0.884496,3.12339,4.72179,6.6673,7.11131,7.18187,6.91596,5.95525,0.374576,0.353697,-574.456
"4",-642.836,1.77768,3.83845,49.2216,-1.98249,1.04856,0.382034,2.36837,0.224186,0.149842,0.417128,0.174515,0.0654326,1.06363,2.13898,0.373507,1.56307,1.78459,2.82539,4.61711,6.62307,6.05143,7.00859,6.61364,6.05891,0.453113,0.435204,-571.273
"5",-645.497,1.2959,4.3615,65.93,-1.69148,-0.628284,0.411919,2.72683,0.362235,0.192705,0.369372,0.166517,0.0958642,1.97673,1.96239,0.769159,2.22406,1.12854,3.04754,4.67821,6.80779,7.27003,7.13578,6.65456,5.77585,0.417266,0.28298,-571.962
"6",-647.724,2.23167,4.69503,53.3885,-1.99613,-0.411174,0.441806,2.74042,0.267582,0.152752,0.462499,0.16048,0.0464739,0.515332,2.50241,1.54843,2.49722,0.730371,2.15804,4.95856,6.8493,6.28014,6.85988,6.77958,5.91351,0.672155,0.676327,-576.667
"7",-659.978,1.16341,4.37679,66.9432,-2.60339,0.228356,0.43872,2.72454,0.23025,0.182041,0.455495,0.193764,0.174583,0.482247,0.309736,0.143719,1.86149,0.599803,2.70338,5.16194,6.7387,5.94872,6.96479,6.61599,5.63379,0.377258,0.577392,-579.006
"8",-654.71,2.47082,4.36897,82.2373,-2.10606,0.549349,0.37416,2.41561,0.199656,0.21298,0.31303,0.128838,0.162225,2.08567,0.7393,1.54413,2.60113,1.70764,2.29191,4.49052,6.86262,5.13191,6.95458,6.76468,6.62685,0.412807,0.336485,-586.305
"9",-647.803,1.93086,3.77834,48.2459,-2.09277,0.0739133,0.417938,2.87111,0.340327,0.178552,0.405873,0.224015,0.188008,0.746977,1.80864,0.956615,1.38206,0.741808,2.86871,4.93448,6.60355,7.64851,6.82827,6.74703,5.28038,0.596163,0.382342,-578.967
"10",-654.73,1.15707,4.6776,87.3567,-2.21379,1.47159,0.655178,2.33599,0.259668,0.187292,0.34617,0.143178,0.118076,0.821903,1.29977,0.228453,2.49844,1.11347,1.64486,4.71982,6.6335,6.59018,6.44918,6.73342,6.19954,0.553267,0.745009,-582.081
"11",-651.233,2.38543,4.74566,73.1676,-2.05166,0.233355,0.33556,2.58459,0.213151,0.179801,0.364443,0.221345,0.146615,0.787775,0.975092,0.852126,2.61386,1.09465,2.46701,4.94294,6.88122,7.22137,6.91624,6.74789,5.79885,0.650321,0.637182,-581.181
"12",-661.229,1.33301,5.06842,60.164,-1.79761,0.0503551,0.551442,2.37175,0.28816,0.164398,0.355326,0.17932,0.157211,0.26288,0.457277,2.8765,1.26934,1.87348,3.59242,5.0526,6.72896,7.14337,7.03612,6.80213,5.85438,0.272922,0.478151,-581.602
"13",-648.064,1.95114,4.3771,69.6677,-2.03349,0.402331,0.310164,2.55517,0.176355,0.244962,0.442006,0.226507,0.206071,1.9611,2.85929,0.80565,3.33101,1.0605,2.00848,4.37201,6.67577,6.26401,6.94062,6.94473,6.05043,0.644424,0.472923,-580.96
"14",-646.408,2.38225,3.68752,72.9689,-1.58209,1.23995,0.34809,2.40116,0.298354,0.212249,0.358892,0.113903,0.189016,2.70649,0.717888,0.32367,3.3748,1.06909,2.55666,4.30996,6.81223,5.27478,6.91964,6.69301,5.66995,0.433274,0.472487,-573.997
